Node_4d(x=57, y=100, floor='LL', building='RoyCarver') Node_4d(x=57, y=100, floor='LL', building='RoyCarver') normal 1
Node_4d(x=57, y=100, floor='LL', building='RoyCarver') Node_4d(x=65, y=102, floor='LL', building='RoyCarver') door 1000
Node_4d(x=57, y=100, floor='LL', building='RoyCarver') Node_4d(x=59, y=108, floor='LL', building='RoyCarver') door 1000
Node_4d(x=57, y=100, floor='LL', building='RoyCarver') Node_4d(x=60, y=92, floor='LL', building='RoyCarver') door 1000
Node_4d(x=59, y=121, floor='LL', building='RoyCarver') Node_4d(x=59, y=121, floor='LL', building='RoyCarver') normal 1
Node_4d(x=59, y=121, floor='LL', building='RoyCarver') Node_4d(x=66, y=126, floor='LL', building='RoyCarver') normal 1
Node_4d(x=59, y=121, floor='LL', building='RoyCarver') Node_4d(x=59, y=130, floor='LL', building='RoyCarver') normal 1
Node_4d(x=59, y=121, floor='LL', building='RoyCarver') Node_4d(x=65, y=114, floor='LL', building='RoyCarver') normal 1
Node_4d(x=59, y=147, floor='LL', building='RoyCarver') Node_4d(x=59, y=147, floor='LL', building='RoyCarver') normal 1
Node_4d(x=59, y=147, floor='LL', building='RoyCarver') Node_4d(x=60, y=138, floor='LL', building='RoyCarver') door 1000
Node_4d(x=60, y=92, floor='LL', building='RoyCarver') Node_4d(x=60, y=92, floor='LL', building='RoyCarver') normal 1
Node_4d(x=60, y=92, floor='LL', building='RoyCarver') Node_4d(x=65, y=102, floor='LL', building='RoyCarver') door 1000
Node_4d(x=81, y=186, floor='LL', building='RoyCarver') Node_4d(x=81, y=186, floor='LL', building='RoyCarver') normal 1
Node_4d(x=81, y=186, floor='LL', building='RoyCarver') Node_4d(x=91, y=188, floor='LL', building='RoyCarver') normal 1
Node_4d(x=81, y=186, floor='LL', building='RoyCarver') Node_4d(x=82, y=195, floor='LL', building='RoyCarver') door 1000
Node_4d(x=81, y=251, floor='LL', building='RoyCarver') Node_4d(x=81, y=251, floor='LL', building='RoyCarver') normal 1
Node_4d(x=81, y=251, floor='LL', building='RoyCarver') Node_4d(x=90, y=246, floor='LL', building='RoyCarver') door 1000
Node_4d(x=81, y=251, floor='LL', building='RoyCarver') Node_4d(x=70, y=253, floor='LL', building='RoyCarver') normal 1
Node_4d(x=82, y=93, floor='LL', building='RoyCarver') Node_4d(x=82, y=93, floor='LL', building='RoyCarver') normal 1
Node_4d(x=82, y=93, floor='LL', building='RoyCarver') Node_4d(x=80, y=102, floor='LL', building='RoyCarver') door 1000
Node_4d(x=82, y=195, floor='LL', building='RoyCarver') Node_4d(x=82, y=195, floor='LL', building='RoyCarver') normal 1
Node_4d(x=82, y=223, floor='LL', building='RoyCarver') Node_4d(x=82, y=223, floor='LL', building='RoyCarver') normal 1
Node_4d(x=82, y=223, floor='LL', building='RoyCarver') Node_4d(x=91, y=224, floor='LL', building='RoyCarver') door 1000
Node_4d(x=82, y=230, floor='LL', building='RoyCarver') Node_4d(x=82, y=230, floor='LL', building='RoyCarver') normal 1
Node_4d(x=82, y=230, floor='LL', building='RoyCarver') Node_4d(x=88, y=232, floor='LL', building='RoyCarver') door 1000
Node_4d(x=82, y=230, floor='LL', building='RoyCarver') Node_4d(x=91, y=224, floor='LL', building='RoyCarver') door 1000
Node_4d(x=82, y=239, floor='LL', building='RoyCarver') Node_4d(x=82, y=239, floor='LL', building='RoyCarver') normal 1
Node_4d(x=82, y=239, floor='LL', building='RoyCarver') Node_4d(x=89, y=240, floor='LL', building='RoyCarver') door 1000
Node_4d(x=82, y=239, floor='LL', building='RoyCarver') Node_4d(x=88, y=232, floor='LL', building='RoyCarver') door 1000
Node_4d(x=83, y=118, floor='LL', building='RoyCarver') Node_4d(x=83, y=118, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=118, floor='LL', building='RoyCarver') Node_4d(x=78, y=111, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=118, floor='LL', building='RoyCarver') Node_4d(x=93, y=119, floor='LL', building='RoyCarver') door 1000
Node_4d(x=83, y=134, floor='LL', building='RoyCarver') Node_4d(x=83, y=134, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=134, floor='LL', building='RoyCarver') Node_4d(x=78, y=126, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=134, floor='LL', building='RoyCarver') Node_4d(x=93, y=128, floor='LL', building='RoyCarver') door 1000
Node_4d(x=83, y=147, floor='LL', building='RoyCarver') Node_4d(x=83, y=147, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=147, floor='LL', building='RoyCarver') Node_4d(x=92, y=150, floor='LL', building='RoyCarver') door 1000
Node_4d(x=83, y=155, floor='LL', building='RoyCarver') Node_4d(x=83, y=155, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=155, floor='LL', building='RoyCarver') Node_4d(x=92, y=150, floor='LL', building='RoyCarver') door 1000
Node_4d(x=83, y=166, floor='LL', building='RoyCarver') Node_4d(x=83, y=166, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=166, floor='LL', building='RoyCarver') Node_4d(x=88, y=165, floor='LL', building='RoyCarver') door 1000
Node_4d(x=83, y=179, floor='LL', building='RoyCarver') Node_4d(x=83, y=179, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=179, floor='LL', building='RoyCarver') Node_4d(x=79, y=172, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=179, floor='LL', building='RoyCarver') Node_4d(x=88, y=172, floor='LL', building='RoyCarver') door 1000
Node_4d(x=83, y=209, floor='LL', building='RoyCarver') Node_4d(x=83, y=209, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=209, floor='LL', building='RoyCarver') Node_4d(x=78, y=202, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=209, floor='LL', building='RoyCarver') Node_4d(x=78, y=216, floor='LL', building='RoyCarver') normal 1
Node_4d(x=83, y=209, floor='LL', building='RoyCarver') Node_4d(x=91, y=206, floor='LL', building='RoyCarver') door 1000
Node_4d(x=90, y=246, floor='LL', building='RoyCarver') Node_4d(x=90, y=246, floor='LL', building='RoyCarver') normal 1
Node_4d(x=90, y=246, floor='LL', building='RoyCarver') Node_4d(x=89, y=240, floor='LL', building='RoyCarver') door 1000
Node_4d(x=97, y=231, floor='LL', building='RoyCarver') Node_4d(x=97, y=231, floor='LL', building='RoyCarver') normal 1
Node_4d(x=97, y=231, floor='LL', building='RoyCarver') Node_4d(x=88, y=232, floor='LL', building='RoyCarver') door 1000
Node_4d(x=97, y=231, floor='LL', building='RoyCarver') Node_4d(x=97, y=237, floor='LL', building='RoyCarver') door 1000
Node_4d(x=97, y=231, floor='LL', building='RoyCarver') Node_4d(x=98, y=227, floor='LL', building='RoyCarver') door 1000
Node_4d(x=97, y=231, floor='LL', building='RoyCarver') Node_4d(x=91, y=224, floor='LL', building='RoyCarver') door 1000
Node_4d(x=97, y=237, floor='LL', building='RoyCarver') Node_4d(x=97, y=237, floor='LL', building='RoyCarver') normal 1
Node_4d(x=97, y=237, floor='LL', building='RoyCarver') Node_4d(x=89, y=240, floor='LL', building='RoyCarver') door 1000
Node_4d(x=97, y=237, floor='LL', building='RoyCarver') Node_4d(x=88, y=232, floor='LL', building='RoyCarver') door 1000
Node_4d(x=98, y=166, floor='LL', building='RoyCarver') Node_4d(x=98, y=166, floor='LL', building='RoyCarver') normal 1
Node_4d(x=98, y=166, floor='LL', building='RoyCarver') Node_4d(x=88, y=165, floor='LL', building='RoyCarver') door 1000
Node_4d(x=98, y=166, floor='LL', building='RoyCarver') Node_4d(x=93, y=158, floor='LL', building='RoyCarver') door 1000
Node_4d(x=98, y=166, floor='LL', building='RoyCarver') Node_4d(x=101, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=98, y=166, floor='LL', building='RoyCarver') Node_4d(x=100, y=175, floor='LL', building='RoyCarver') door 1000
Node_4d(x=98, y=209, floor='LL', building='RoyCarver') Node_4d(x=98, y=209, floor='LL', building='RoyCarver') normal 1
Node_4d(x=98, y=209, floor='LL', building='RoyCarver') Node_4d(x=91, y=206, floor='LL', building='RoyCarver') door 1000
Node_4d(x=98, y=209, floor='LL', building='RoyCarver') Node_4d(x=91, y=215, floor='LL', building='RoyCarver') door 1000
Node_4d(x=98, y=218, floor='LL', building='RoyCarver') Node_4d(x=98, y=218, floor='LL', building='RoyCarver') normal 1
Node_4d(x=98, y=218, floor='LL', building='RoyCarver') Node_4d(x=91, y=215, floor='LL', building='RoyCarver') door 1000
Node_4d(x=98, y=218, floor='LL', building='RoyCarver') Node_4d(x=98, y=227, floor='LL', building='RoyCarver') door 1000
Node_4d(x=99, y=184, floor='LL', building='RoyCarver') Node_4d(x=99, y=184, floor='LL', building='RoyCarver') normal 1
Node_4d(x=99, y=184, floor='LL', building='RoyCarver') Node_4d(x=105, y=189, floor='LL', building='RoyCarver') door 1000
Node_4d(x=99, y=184, floor='LL', building='RoyCarver') Node_4d(x=98, y=192, floor='LL', building='RoyCarver') door 1000
Node_4d(x=100, y=175, floor='LL', building='RoyCarver') Node_4d(x=100, y=175, floor='LL', building='RoyCarver') normal 1
Node_4d(x=100, y=175, floor='LL', building='RoyCarver') Node_4d(x=88, y=172, floor='LL', building='RoyCarver') door 1000
Node_4d(x=102, y=149, floor='LL', building='RoyCarver') Node_4d(x=102, y=149, floor='LL', building='RoyCarver') normal 1
Node_4d(x=102, y=149, floor='LL', building='RoyCarver') Node_4d(x=101, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=102, y=167, floor='LL', building='RoyCarver') Node_4d(x=102, y=167, floor='LL', building='RoyCarver') normal 1
Node_4d(x=102, y=167, floor='LL', building='RoyCarver') Node_4d(x=101, y=159, floor='LL', building='RoyCarver') door 1000
Node_4d(x=104, y=130, floor='LL', building='RoyCarver') Node_4d(x=104, y=130, floor='LL', building='RoyCarver') normal 1
Node_4d(x=104, y=130, floor='LL', building='RoyCarver') Node_4d(x=93, y=128, floor='LL', building='RoyCarver') door 1000
Node_4d(x=104, y=138, floor='LL', building='RoyCarver') Node_4d(x=104, y=138, floor='LL', building='RoyCarver') normal 1
Node_4d(x=104, y=138, floor='LL', building='RoyCarver') Node_4d(x=93, y=137, floor='LL', building='RoyCarver') door 1000
Node_4d(x=105, y=118, floor='LL', building='RoyCarver') Node_4d(x=105, y=118, floor='LL', building='RoyCarver') normal 1
Node_4d(x=105, y=118, floor='LL', building='RoyCarver') Node_4d(x=99, y=124, floor='LL', building='RoyCarver') normal 1
